number,short_description,priority,category,subcategory,assignment_group,cmdb_ci,contact_type,opened_at,resolved_at,closed_at,close_code,close_notes,incident_state,made_sla,reopen_count,major_incident_state,impact,urgency,severity,sys_created_on
INC4000103,Service needs restart,2 - High,Email,Outage,Infrastructure,Atlas Monitoring,Email,2025-07-08 06:32:43,2025-07-08 12:56:43,2025-07-08 12:56:43,Solved (Work Around),Resolved: service needs restart addressed by Infrastructure.,Closed,true,0,No,High,2 - High,2,2025-07-08 06:32:43
INC4000110,Shared drive inaccessible,3 - Moderate,Software,Error,Cloud Ops,Nimbus File Storage,Chat,2025-07-24 22:49:02,2025-07-26 21:31:02,2025-07-26 21:31:02,Known Error,Resolved: shared drive inaccessible addressed by Cloud Ops.,Closed,true,0,Yes,Moderate,3 - Moderate,3,2025-07-24 22:49:02
INC4000112,Email not syncing,4 - Low,Network,Outage,Cloud Ops,Mailflow Online,Phone,2025-10-01 13:50:44,2025-10-01 23:50:44,2025-10-01 23:50:44,Closed/Resolved by Caller,Resolved: email not syncing addressed by Cloud Ops.,Closed,true,0,Yes,Low,4 - Low,4,2025-10-01 13:50:44
INC4000113,ETL job failed,4 - Low,Software,Configuration,Database Team,Orion Data Warehouse,Phone,2025-12-18 12:16:21,2025-12-18 20:10:21,2025-12-18 20:10:21,Not Reproducible,Resolved: etl job failed addressed by Database Team.,Closed,true,0,No,Low,4 - Low,4,2025-12-18 12:16:21
INC4000116,Cannot send external email,3 - Moderate,Support,Error,Cloud Ops,Mailflow Online,Self-service,2025-11-03 19:29:14,2025-11-06 08:59:14,2025-11-06 08:59:14,Closed/Resolved by Caller,Resolved: cannot send external email addressed by Cloud Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-11-03 19:29:14
INC4000122,Payslip not visible,4 - Low,Access,Configuration,App Support,Helios HR Portal,Chat,2025-11-19 02:45:20,2025-11-21 00:51:20,2025-11-21 00:51:20,Known Error,Resolved: payslip not visible addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-11-19 02:45:20
INC4000124,VPN very slow after login,2 - High,Access,Performance,Network Ops,VPN Gateway,Self-service,2025-10-08 20:13:57,2025-10-11 08:25:57,2025-10-11 08:25:57,Not Reproducible,Resolved: vpn very slow after login addressed by Network Ops.,Closed,true,0,No,High,2 - High,2,2025-10-08 20:13:57
INC4000131,Mailbox quota exceeded,4 - Low,Access,Configuration,Cloud Ops,Mailflow Online,Phone,2025-11-02 19:38:12,2025-11-04 19:50:12,2025-11-04 19:50:12,Solved (Work Around),Resolved: mailbox quota exceeded addressed by Cloud Ops.,Closed,true,0,No,Low,4 - Low,4,2025-11-02 19:38:12
INC4000138,Transaction declined in error,3 - Moderate,Database,Performance,App Support,Acme Payments API,Email,2025-08-02 19:45:07,2025-08-05 14:21:07,2025-08-05 14:21:07,Solved (Work Around),Resolved: transaction declined in error addressed by App Support.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-08-02 19:45:07
INC4000141,Account locked out,3 - Moderate,Support,Performance,Identity & Access,Titan Auth Service,Phone,2025-08-10 16:55:43,2025-08-13 03:49:43,2025-08-13 03:49:43,Solved (Permanently),Resolved: account locked out addressed by Identity & Access.,Closed,true,1,No,Moderate,3 - Moderate,3,2025-08-10 16:55:43
INC4000147,ETL job failed,4 - Low,Email,Request,Database Team,Orion Data Warehouse,Walk-in,2025-12-06 04:14:17,2025-12-09 01:50:17,2025-12-09 01:50:17,Not Reproducible,Resolved: etl job failed addressed by Database Team.,Closed,true,0,No,Low,4 - Low,4,2025-12-06 04:14:17
INC4000152,VPN disconnects intermittently,4 - Low,Access,Outage,Network Ops,VPN Gateway,Email,2025-10-15 05:57:00,2025-10-18 04:45:00,2025-10-18 04:45:00,Closed/Resolved by Caller,Resolved: vpn disconnects intermittently addressed by Network Ops.,Closed,true,1,Yes,Low,4 - Low,4,2025-10-15 05:57:00
INC4000159,Mailbox quota exceeded,4 - Low,Email,Performance,Cloud Ops,Mailflow Online,Email,2025-08-16 14:44:28,2025-08-18 17:56:28,2025-08-18 17:56:28,Closed/Resolved by Caller,Resolved: mailbox quota exceeded addressed by Cloud Ops.,Closed,true,0,Yes,Low,4 - Low,4,2025-08-16 14:44:28
INC4000162,Leave request stuck,4 - Low,Database,Request,App Support,Helios HR Portal,Email,2025-10-30 09:35:52,2025-10-30 18:59:52,2025-10-30 18:59:52,Closed/Resolved by Caller,Resolved: leave request stuck addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-10-30 09:35:52
INC4000167,File restore request,1 - Critical,Email,Outage,Cloud Ops,Nimbus File Storage,Chat,2025-10-30 16:22:12,2025-10-31 19:58:12,2025-10-31 19:58:12,Known Error,Resolved: file restore request addressed by Cloud Ops.,Closed,true,0,No,Critical,1 - Critical,1,2025-10-30 16:22:12
INC4000171,Cannot send external email,2 - High,Access,Request,Cloud Ops,Mailflow Online,Phone,2025-09-17 16:04:07,2025-09-19 10:04:07,2025-09-19 10:04:07,Known Error,Resolved: cannot send external email addressed by Cloud Ops.,Closed,false,0,No,High,2 - High,2,2025-09-17 16:04:07
INC4000178,Data not refreshed overnight,4 - Low,Support,Performance,Database Team,Orion Data Warehouse,Email,2025-10-03 07:51:54,2025-10-05 05:39:54,2025-10-05 05:39:54,Solved (Work Around),Resolved: data not refreshed overnight addressed by Database Team.,Closed,true,0,No,Low,4 - Low,4,2025-10-03 07:51:54
INC4000182,Payment gateway returns 500,4 - Low,Database,Configuration,App Support,Acme Payments API,Phone,2025-08-14 19:20:54,2025-08-16 05:50:54,2025-08-16 05:50:54,Closed/Resolved by Caller,Resolved: payment gateway returns 500 addressed by App Support.,Closed,false,1,No,Low,4 - Low,4,2025-08-14 19:20:54
INC4000184,Cannot connect to VPN,4 - Low,Hardware,Configuration,Network Ops,VPN Gateway,Chat,2025-10-29 01:24:24,2025-10-29 02:18:24,2025-10-29 02:18:24,Solved (Permanently),Resolved: cannot connect to vpn addressed by Network Ops.,Closed,true,0,No,Low,4 - Low,4,2025-10-29 01:24:24
INC4000187,VPN very slow after login,3 - Moderate,Support,Request,Network Ops,VPN Gateway,Walk-in,2025-11-24 15:49:18,2025-11-26 16:01:18,2025-11-26 16:01:18,Known Error,Resolved: vpn very slow after login addressed by Network Ops.,Closed,false,1,No,Moderate,3 - Moderate,3,2025-11-24 15:49:18
INC4000194,Account locked out,2 - High,Support,Configuration,Identity & Access,Titan Auth Service,Chat,2025-09-21 08:42:22,2025-09-23 15:00:22,2025-09-23 15:00:22,Solved (Work Around),Resolved: account locked out addressed by Identity & Access.,Closed,true,1,No,High,2 - High,2,2025-09-21 08:42:22
INC4000196,Data not refreshed overnight,3 - Moderate,Hardware,Performance,Database Team,Orion Data Warehouse,Chat,2025-08-12 21:53:44,2025-08-13 22:23:44,2025-08-13 22:23:44,Solved (Work Around),Resolved: data not refreshed overnight addressed by Database Team.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-08-12 21:53:44
INC4000203,File restore request,4 - Low,Access,Request,Cloud Ops,Nimbus File Storage,Walk-in,2025-08-30 13:13:51,2025-08-31 23:01:51,2025-08-31 23:01:51,Solved (Permanently),Resolved: file restore request addressed by Cloud Ops.,Closed,false,1,No,Low,4 - Low,4,2025-08-30 13:13:51
INC4000209,Leave request stuck,3 - Moderate,Database,Configuration,App Support,Helios HR Portal,Walk-in,2025-08-24 15:30:24,2025-08-25 19:54:24,2025-08-25 19:54:24,Solved (Work Around),Resolved: leave request stuck addressed by App Support.,Closed,false,0,No,Moderate,3 - Moderate,3,2025-08-24 15:30:24
INC4000216,File sync conflict,2 - High,Access,Performance,Cloud Ops,Nimbus File Storage,Chat,2025-09-27 20:56:22,2025-09-29 01:14:22,2025-09-29 01:14:22,Solved (Work Around),Resolved: file sync conflict addressed by Cloud Ops.,Closed,true,1,Yes,High,2 - High,2,2025-09-27 20:56:22
INC4000223,Server high CPU alert,3 - Moderate,Access,Performance,Infrastructure,Atlas Monitoring,Self-service,2025-10-30 07:53:41,2025-10-30 14:23:41,2025-10-30 14:23:41,Not Reproducible,Resolved: server high cpu alert addressed by Infrastructure.,Closed,false,0,No,Moderate,3 - Moderate,3,2025-10-30 07:53:41
INC4000230,Account locked out,3 - Moderate,Support,Request,Identity & Access,Titan Auth Service,Email,2025-08-29 19:30:24,2025-09-01 02:24:24,2025-09-01 02:24:24,Solved (Permanently),Resolved: account locked out addressed by Identity & Access.,Closed,false,0,Yes,Moderate,3 - Moderate,3,2025-08-29 19:30:24
INC4000237,Payment timeout at checkout,2 - High,Database,Error,App Support,Acme Payments API,Self-service,2025-12-30 23:35:42,2026-01-01 01:05:42,2026-01-01 01:05:42,Solved (Work Around),Resolved: payment timeout at checkout addressed by App Support.,Closed,true,0,Yes,High,2 - High,2,2025-12-30 23:35:42
INC4000239,VPN very slow after login,4 - Low,Access,Outage,Network Ops,VPN Gateway,Email,2025-08-13 15:41:21,2025-08-15 02:05:21,2025-08-15 02:05:21,Solved (Work Around),Resolved: vpn very slow after login addressed by Network Ops.,Closed,true,0,No,Low,4 - Low,4,2025-08-13 15:41:21
INC4000243,Cannot save customer record,2 - High,Access,Performance,App Support,Globex CRM,Self-service,2025-10-14 21:35:00,2025-10-17 16:29:00,2025-10-17 16:29:00,Known Error,Resolved: cannot save customer record addressed by App Support.,Closed,true,0,No,High,2 - High,2,2025-10-14 21:35:00
INC4000246,Server high CPU alert,2 - High,Email,Request,Infrastructure,Atlas Monitoring,Email,2025-11-25 09:52:43,2025-11-27 19:16:43,2025-11-27 19:16:43,Solved (Permanently),Resolved: server high cpu alert addressed by Infrastructure.,Closed,true,0,No,High,2 - High,2,2025-11-25 09:52:43
INC4000252,Account locked out,2 - High,Hardware,Request,Identity & Access,Titan Auth Service,Phone,2025-07-20 07:31:36,2025-07-23 04:43:36,2025-07-23 04:43:36,Known Error,Resolved: account locked out addressed by Identity & Access.,Closed,true,1,No,High,2 - High,2,2025-07-20 07:31:36
INC4000259,File restore request,4 - Low,Software,Outage,Cloud Ops,Nimbus File Storage,Chat,2025-11-29 02:37:34,2025-11-30 21:31:34,2025-11-30 21:31:34,Solved (Work Around),Resolved: file restore request addressed by Cloud Ops.,Closed,false,1,No,Low,4 - Low,4,2025-11-29 02:37:34
INC4000262,Payment timeout at checkout,3 - Moderate,Support,Outage,App Support,Acme Payments API,Email,2025-09-29 10:59:38,2025-09-30 10:41:38,2025-09-30 10:41:38,Not Reproducible,Resolved: payment timeout at checkout addressed by App Support.,Closed,true,0,Yes,Moderate,3 - Moderate,3,2025-09-29 10:59:38
INC4000269,Mailbox quota exceeded,3 - Moderate,Hardware,Request,Cloud Ops,Mailflow Online,Chat,2025-07-16 16:00:43,2025-07-18 20:00:43,2025-07-18 20:00:43,Closed/Resolved by Caller,Resolved: mailbox quota exceeded addressed by Cloud Ops.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-07-16 16:00:43
INC4000272,Mailbox quota exceeded,2 - High,Access,Configuration,Cloud Ops,Mailflow Online,Walk-in,2025-09-13 00:07:47,2025-09-13 18:01:47,2025-09-13 18:01:47,Not Reproducible,Resolved: mailbox quota exceeded addressed by Cloud Ops.,Closed,false,0,No,High,2 - High,2,2025-09-13 00:07:47
INC4000274,SSO redirect loop,4 - Low,Network,Error,Identity & Access,Titan Auth Service,Walk-in,2025-08-19 13:51:53,2025-08-20 08:21:53,2025-08-20 08:21:53,Solved (Work Around),Resolved: sso redirect loop addressed by Identity & Access.,Closed,true,0,No,Low,4 - Low,4,2025-08-19 13:51:53
INC4000277,Report shows stale data,3 - Moderate,Software,Performance,Database Team,Orion Data Warehouse,Email,2025-11-10 14:22:38,2025-11-13 12:40:38,2025-11-13 12:40:38,Solved (Work Around),Resolved: report shows stale data addressed by Database Team.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-11-10 14:22:38
INC4000282,Payment timeout at checkout,4 - Low,Network,Performance,App Support,Acme Payments API,Chat,2025-11-07 13:37:01,2025-11-07 23:13:01,2025-11-07 23:13:01,Solved (Permanently),Resolved: payment timeout at checkout addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-11-07 13:37:01
INC4000289,Account locked out,4 - Low,Access,Error,Identity & Access,Titan Auth Service,Self-service,2025-09-19 14:32:20,2025-09-20 04:14:20,2025-09-20 04:14:20,Closed/Resolved by Caller,Resolved: account locked out addressed by Identity & Access.,Closed,false,0,Yes,Low,4 - Low,4,2025-09-19 14:32:20
INC4000291,Payment timeout at checkout,4 - Low,Software,Configuration,App Support,Acme Payments API,Chat,2025-07-28 18:23:06,2025-07-31 04:53:06,2025-07-31 04:53:06,Known Error,Resolved: payment timeout at checkout addressed by App Support.,Closed,true,1,No,Low,4 - Low,4,2025-07-28 18:23:06
INC4000296,Account locked out,3 - Moderate,Email,Error,Identity & Access,Titan Auth Service,Walk-in,2025-08-24 09:58:29,2025-08-26 04:34:29,2025-08-26 04:34:29,Solved (Permanently),Resolved: account locked out addressed by Identity & Access.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-08-24 09:58:29
INC4000297,CRM login failure,4 - Low,Access,Request,App Support,Globex CRM,Walk-in,2025-07-29 17:47:41,2025-07-30 06:41:41,2025-07-30 06:41:41,Closed/Resolved by Caller,Resolved: crm login failure addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-07-29 17:47:41
INC4000303,Data not refreshed overnight,3 - Moderate,Hardware,Outage,Database Team,Orion Data Warehouse,Walk-in,2025-11-07 08:57:00,2025-11-09 11:45:00,2025-11-09 11:45:00,Solved (Work Around),Resolved: data not refreshed overnight addressed by Database Team.,Closed,false,0,Yes,Moderate,3 - Moderate,3,2025-11-07 08:57:00
INC4000304,Email not syncing,4 - Low,Hardware,Outage,Cloud Ops,Mailflow Online,Walk-in,2025-10-27 12:24:42,2025-10-30 05:54:42,2025-10-30 05:54:42,Known Error,Resolved: email not syncing addressed by Cloud Ops.,Closed,true,1,No,Low,4 - Low,4,2025-10-27 12:24:42
INC4000309,SSO redirect loop,4 - Low,Access,Request,Identity & Access,Titan Auth Service,Self-service,2025-11-04 00:40:25,2025-11-06 03:10:25,2025-11-06 03:10:25,Known Error,Resolved: sso redirect loop addressed by Identity & Access.,Closed,true,1,No,Low,4 - Low,4,2025-11-04 00:40:25
INC4000314,Service needs restart,2 - High,Software,Outage,Infrastructure,Atlas Monitoring,Walk-in,2025-08-15 19:36:56,2025-08-16 02:36:56,2025-08-16 02:36:56,Solved (Permanently),Resolved: service needs restart addressed by Infrastructure.,Closed,true,1,Yes,High,2 - High,2,2025-08-15 19:36:56
INC4000320,Account locked out,2 - High,Support,Request,Identity & Access,Titan Auth Service,Self-service,2025-12-15 15:23:30,2025-12-16 04:53:30,2025-12-16 04:53:30,Closed/Resolved by Caller,Resolved: account locked out addressed by Identity & Access.,Closed,true,1,No,High,2 - High,2,2025-12-15 15:23:30
INC4000326,HR portal error on submit,4 - Low,Access,Outage,App Support,Helios HR Portal,Chat,2025-10-31 15:13:34,2025-11-03 05:01:34,2025-11-03 05:01:34,Known Error,Resolved: hr portal error on submit addressed by App Support.,Closed,true,1,No,Low,4 - Low,4,2025-10-31 15:13:34
INC4000333,Leave request stuck,3 - Moderate,Software,Configuration,App Support,Helios HR Portal,Chat,2025-08-16 04:32:08,2025-08-16 13:20:08,2025-08-16 13:20:08,Closed/Resolved by Caller,Resolved: leave request stuck addressed by App Support.,Closed,true,0,Yes,Moderate,3 - Moderate,3,2025-08-16 04:32:08
INC4000335,Payslip not visible,3 - Moderate,Network,Configuration,App Support,Helios HR Portal,Phone,2025-10-22 22:36:28,2025-10-24 10:42:28,2025-10-24 10:42:28,Not Reproducible,Resolved: payslip not visible addressed by App Support.,Closed,false,1,No,Moderate,3 - Moderate,3,2025-10-22 22:36:28
INC4000337,Transaction declined in error,4 - Low,Network,Configuration,App Support,Acme Payments API,Self-service,2025-12-26 02:03:38,2025-12-27 22:03:38,2025-12-27 22:03:38,Known Error,Resolved: transaction declined in error addressed by App Support.,Closed,false,0,No,Low,4 - Low,4,2025-12-26 02:03:38
INC4000343,CRM page very slow to load,4 - Low,Network,Configuration,App Support,Globex CRM,Email,2025-09-23 10:40:44,2025-09-23 19:34:44,2025-09-23 19:34:44,Closed/Resolved by Caller,Resolved: crm page very slow to load addressed by App Support.,Closed,false,1,No,Low,4 - Low,4,2025-09-23 10:40:44
INC4000349,SSO redirect loop,2 - High,Hardware,Error,Identity & Access,Titan Auth Service,Email,2025-10-09 21:09:22,2025-10-11 01:03:22,2025-10-11 01:03:22,Closed/Resolved by Caller,Resolved: sso redirect loop addressed by Identity & Access.,Closed,true,0,No,High,2 - High,2,2025-10-09 21:09:22
INC4000353,Report shows stale data,2 - High,Support,Performance,Database Team,Orion Data Warehouse,Chat,2025-11-10 20:48:57,2025-11-13 09:12:57,2025-11-13 09:12:57,Known Error,Resolved: report shows stale data addressed by Database Team.,Closed,false,0,No,High,2 - High,2,2025-11-10 20:48:57
INC4000359,Printer offline,4 - Low,Hardware,Configuration,Deskside Support,Vertex Print Service,Chat,2025-11-17 14:32:12,2025-11-18 18:02:12,2025-11-18 18:02:12,Solved (Work Around),Resolved: printer offline addressed by Deskside Support.,Closed,false,0,No,Low,4 - Low,4,2025-11-17 14:32:12
INC4000366,SSO redirect loop,3 - Moderate,Support,Performance,Identity & Access,Titan Auth Service,Chat,2025-11-07 01:21:39,2025-11-09 11:51:39,2025-11-09 11:51:39,Solved (Permanently),Resolved: sso redirect loop addressed by Identity & Access.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-11-07 01:21:39
INC4000368,SSO redirect loop,4 - Low,Access,Performance,Identity & Access,Titan Auth Service,Self-service,2025-07-19 05:56:01,2025-07-21 23:32:01,2025-07-21 23:32:01,Closed/Resolved by Caller,Resolved: sso redirect loop addressed by Identity & Access.,Closed,true,0,Yes,Low,4 - Low,4,2025-07-19 05:56:01
INC4000372,File sync conflict,2 - High,Network,Request,Cloud Ops,Nimbus File Storage,Walk-in,2025-10-27 22:04:57,2025-10-30 11:28:57,2025-10-30 11:28:57,Solved (Permanently),Resolved: file sync conflict addressed by Cloud Ops.,Closed,true,0,No,High,2 - High,2,2025-10-27 22:04:57
INC4000378,Mailbox quota exceeded,4 - Low,Support,Error,Cloud Ops,Mailflow Online,Chat,2025-11-14 15:47:52,2025-11-15 23:17:52,2025-11-15 23:17:52,Solved (Work Around),Resolved: mailbox quota exceeded addressed by Cloud Ops.,Closed,true,0,No,Low,4 - Low,4,2025-11-14 15:47:52
INC4000380,HR portal error on submit,4 - Low,Hardware,Configuration,App Support,Helios HR Portal,Chat,2025-11-23 16:39:43,2025-11-24 14:09:43,2025-11-24 14:09:43,Known Error,Resolved: hr portal error on submit addressed by App Support.,Closed,true,0,No,Low,4 - Low,4,2025-11-23 16:39:43
INC4000384,CRM login failure,2 - High,Email,Performance,App Support,Globex CRM,Phone,2025-10-20 12:53:16,2025-10-21 16:47:16,2025-10-21 16:47:16,Closed/Resolved by Caller,Resolved: crm login failure addressed by App Support.,Closed,true,1,No,High,2 - High,2,2025-10-20 12:53:16
INC4000389,Transaction declined in error,4 - Low,Hardware,Error,App Support,Acme Payments API,Chat,2025-12-12 12:00:22,2025-12-13 21:48:22,2025-12-13 21:48:22,Not Reproducible,Resolved: transaction declined in error addressed by App Support.,Closed,true,1,No,Low,4 - Low,4,2025-12-12 12:00:22
INC4000390,Account locked out,3 - Moderate,Hardware,Request,Identity & Access,Titan Auth Service,Walk-in,2025-12-02 16:34:29,2025-12-03 07:16:29,2025-12-03 07:16:29,Not Reproducible,Resolved: account locked out addressed by Identity & Access.,Closed,true,0,No,Moderate,3 - Moderate,3,2025-12-02 16:34:29
INC4000391,File sync conflict,2 - High,Email,Request,Cloud Ops,Nimbus File Storage,Email,2025-08-20 05:31:04,2025-08-21 22:31:04,2025-08-21 22:31:04,Solved (Work Around),Resolved: file sync conflict addressed by Cloud Ops.,Closed,true,0,No,High,2 - High,2,2025-08-20 05:31:04
INC4000398,Service needs restart,2 - High,Hardware,Error,Infrastructure,Atlas Monitoring,Self-service,2025-08-15 20:45:10,2025-08-18 03:15:10,2025-08-18 03:15:10,Not Reproducible,Resolved: service needs restart addressed by Infrastructure.,Closed,false,0,Yes,High,2 - High,2,2025-08-15 20:45:10
